EconomicKey,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,economic_period
87,-1.8,92.843,-50.0,1.614,5099.1,Low
88,-1.8,92.843,-50.0,1.602,5099.1,Low
89,-1.8,92.843,-50.0,1.584,5099.1,Low
90,-1.8,92.843,-50.0,1.574,5099.1,Low
91,-1.8,92.843,-50.0,1.56,5099.1,Low
92,-1.8,92.843,-50.0,1.556,5099.1,Low
93,-1.8,92.843,-50.0,1.548,5099.1,Low
94,-1.8,92.843,-50.0,1.538,5099.1,Low
95,-1.8,92.843,-50.0,1.531,5099.1,Low
96,-1.8,92.843,-50.0,1.52,5099.1,Low
97,-1.8,92.843,-50.0,1.51,5099.1,Low
98,-1.8,93.075,-47.1,1.498,5099.1,Low
99,-1.8,93.075,-47.1,1.483,5099.1,Low
100,-1.8,93.075,-47.1,1.479,5099.1,Low
101,-1.8,93.075,-47.1,1.466,5099.1,Low
102,-1.8,93.075,-47.1,1.453,5099.1,Low
103,-1.8,93.075,-47.1,1.445,5099.1,Low
104,-1.8,93.075,-47.1,1.435,5099.1,Low
105,-1.8,93.075,-47.1,1.423,5099.1,Low
106,-1.8,93.075,-47.1,1.415,5099.1,Low
107,-1.8,93.075,-47.1,1.41,5099.1,Low
108,-1.8,93.075,-47.1,1.405,5099.1,Low
109,-1.8,93.075,-47.1,1.406,5099.1,Low
110,-1.8,93.075,-47.1,1.4,5099.1,Low
111,-1.8,93.075,-47.1,1.392,5099.1,Low
112,-1.8,93.075,-47.1,1.384,5099.1,Low
113,-1.8,93.075,-47.1,1.372,5099.1,Low
114,-1.8,93.075,-47.1,1.365,5099.1,Low
115,-1.8,92.893,-46.2,1.354,5099.1,Low
116,-1.8,92.893,-46.2,1.344,5099.1,Low
117,-1.8,92.893,-46.2,1.334,5099.1,Low
118,-1.8,92.893,-46.2,1.327,5099.1,Low
119,-1.8,92.893,-46.2,1.313,5099.1,Low
120,-1.8,92.893,-46.2,1.299,5099.1,Low
121,-1.8,92.893,-46.2,1.291,5099.1,Low
122,-1.8,92.893,-46.2,1.281,5099.1,Low
123,-1.8,92.893,-46.2,1.266,5099.1,Low
124,-1.8,92.893,-46.2,1.25,5099.1,Low
125,-1.8,92.893,-46.2,1.244,5099.1,Low
126,-1.8,92.893,-46.2,1.259,5099.1,Low
127,-1.8,92.893,-46.2,1.264,5099.1,Low
128,-1.8,92.893,-46.2,1.27,5099.1,Low
129,-2.9,92.963,-40.8,1.266,5076.2,Low
130,-2.9,92.963,-40.8,1.262,5076.2,Low
131,-2.9,92.963,-40.8,1.26,5076.2,Low
132,-2.9,92.963,-40.8,1.268,5076.2,Low
133,-2.9,92.963,-40.8,1.281,5076.2,Low
134,-2.9,92.963,-40.8,1.286,5076.2,Low
135,-2.9,92.963,-40.8,1.252,5076.2,Low
136,-2.9,92.963,-40.8,1.244,5076.2,Low
137,-2.9,92.963,-40.8,1.235,5076.2,Low
138,-2.9,92.963,-40.8,1.224,5076.2,Low
139,-2.9,92.963,-40.8,1.215,5076.2,Low
140,-2.9,92.963,-40.8,1.206,5076.2,Low
141,-2.9,92.963,-40.8,1.099,5076.2,Low
142,-2.9,92.469,-33.6,1.085,5076.2,Low
143,-2.9,92.469,-33.6,1.072,5076.2,Low
144,-2.9,92.469,-33.6,1.059,5076.2,Low
145,-2.9,92.469,-33.6,1.048,5076.2,Low
146,-2.9,92.469,-33.6,1.044,5076.2,Low
147,-2.9,92.469,-33.6,1.029,5076.2,Low
148,-2.9,92.469,-33.6,1.018,5076.2,Low
149,-2.9,92.469,-33.6,1.007,5076.2,Low
150,-2.9,92.469,-33.6,0.996,5076.2,Very Low
151,-2.9,92.469,-33.6,0.979,5076.2,Very Low
152,-2.9,92.469,-33.6,0.969,5076.2,Very Low
153,-2.9,92.469,-33.6,0.944,5076.2,Very Low
154,-2.9,92.469,-33.6,0.937,5076.2,Very Low
155,-2.9,92.469,-33.6,0.933,5076.2,Very Low
156,-2.9,92.469,-33.6,0.927,5076.2,Very Low
157,-2.9,92.469,-33.6,0.921,5076.2,Very Low
158,-2.9,92.469,-33.6,0.914,5076.2,Very Low
159,-2.9,92.469,-33.6,0.908,5076.2,Very Low
160,-2.9,92.469,-33.6,0.903,5076.2,Very Low
161,-2.9,92.469,-33.6,0.899,5076.2,Very Low
162,-2.9,92.201,-31.4,0.884,5076.2,Very Low
163,-2.9,92.201,-31.4,0.883,5076.2,Very Low
164,-2.9,92.201,-31.4,0.881,5076.2,Very Low
165,-2.9,92.201,-31.4,0.879,5076.2,Very Low
166,-2.9,92.201,-31.4,0.873,5076.2,Very Low
167,-2.9,92.201,-31.4,0.869,5076.2,Very Low
168,-2.9,92.201,-31.4,0.861,5076.2,Very Low
169,-2.9,92.201,-31.4,0.859,5076.2,Very Low
170,-2.9,92.201,-31.4,0.854,5076.2,Very Low
171,-2.9,92.201,-31.4,0.851,5076.2,Very Low
172,-2.9,92.201,-31.4,0.849,5076.2,Very Low
173,-2.9,92.201,-31.4,0.843,5076.2,Very Low
174,-2.9,92.201,-31.4,0.838,5076.2,Very Low
175,-2.9,92.201,-31.4,0.834,5076.2,Very Low
176,-2.9,92.201,-31.4,0.829,5076.2,Very Low
177,-2.9,92.201,-31.4,0.825,5076.2,Very Low
178,-2.9,92.201,-31.4,0.821,5076.2,Very Low
179,-3.4,92.379,-29.8,0.819,5017.5,Very Low
180,-3.4,92.379,-29.8,0.813,5017.5,Very Low
181,-3.4,92.379,-29.8,0.809,5017.5,Very Low
182,-3.4,92.379,-29.8,0.803,5017.5,Very Low
183,-3.4,92.379,-29.8,0.797,5017.5,Very Low
184,-3.4,92.379,-29.8,0.788,5017.5,Very Low
185,-3.4,92.379,-29.8,0.781,5017.5,Very Low
186,-3.4,92.379,-29.8,0.778,5017.5,Very Low
187,-3.4,92.379,-29.8,0.773,5017.5,Very Low
188,-3.4,92.379,-29.8,0.771,5017.5,Very Low
189,-3.4,92.379,-29.8,0.77,5017.5,Very Low
190,-3.4,92.379,-29.8,0.768,5017.5,Very Low
191,-3.4,92.379,-29.8,0.766,5017.5,Very Low
192,-3.4,92.379,-29.8,0.762,5017.5,Very Low
193,-3.4,92.379,-29.8,0.755,5017.5,Very Low
194,-3.4,92.379,-29.8,0.749,5017.5,Very Low
195,-3.4,92.379,-29.8,0.743,5017.5,Very Low
196,-3.4,92.379,-29.8,0.741,5017.5,Very Low
197,-3.4,92.379,-29.8,0.739,5017.5,Very Low
198,-3.4,92.379,-29.8,0.75,5017.5,Very Low
199,-3.4,92.379,-29.8,0.753,5017.5,Very Low
200,-3.4,92.431,-26.9,0.754,5017.5,Very Low
201,-3.4,92.431,-26.9,0.752,5017.5,Very Low
202,-3.4,92.431,-26.9,0.744,5017.5,Very Low
203,-3.4,92.431,-26.9,0.74,5017.5,Very Low
204,-3.4,92.431,-26.9,0.741,5017.5,Very Low
205,-3.4,92.431,-26.9,0.743,5017.5,Very Low
206,-3.4,92.431,-26.9,0.742,5017.5,Very Low
207,-3.4,92.431,-26.9,0.739,5017.5,Very Low
208,-3.4,92.431,-26.9,0.737,5017.5,Very Low
209,-3.4,92.431,-26.9,0.735,5017.5,Very Low
210,-3.4,92.431,-26.9,0.733,5017.5,Very Low
211,-3.4,92.431,-26.9,0.73,5017.5,Very Low
212,-3.4,92.431,-26.9,0.731,5017.5,Very Low
213,-3.4,92.431,-26.9,0.728,5017.5,Very Low
214,-3.4,92.431,-26.9,0.724,5017.5,Very Low
215,-3.4,92.431,-26.9,0.722,5017.5,Very Low
216,-3.4,92.431,-26.9,0.72,5017.5,Very Low
217,-3.4,92.649,-30.1,0.722,5017.5,Very Low
218,-3.4,92.649,-30.1,0.72,5017.5,Very Low
219,-3.4,92.649,-30.1,0.719,5017.5,Very Low
220,-3.4,92.649,-30.1,0.716,5017.5,Very Low
221,-3.4,92.649,-30.1,0.715,5017.5,Very Low
222,-3.4,92.649,-30.1,0.714,5017.5,Very Low
223,-3.4,92.649,-30.1,0.718,5017.5,Very Low
224,-3.0,92.713,-33.0,0.721,5023.5,Very Low
225,-3.0,92.713,-33.0,0.72,5023.5,Very Low
226,-3.0,92.713,-33.0,0.718,5023.5,Very Low
227,-3.0,92.713,-33.0,0.717,5023.5,Very Low
228,-3.0,92.713,-33.0,0.715,5023.5,Very Low
229,-3.0,92.713,-33.0,0.714,5023.5,Very Low
230,-3.0,92.713,-33.0,0.712,5023.5,Very Low
231,-3.0,92.713,-33.0,0.71,5023.5,Very Low
232,-3.0,92.713,-33.0,0.709,5023.5,Very Low
233,-3.0,92.713,-33.0,0.708,5023.5,Very Low
234,-3.0,92.713,-33.0,0.706,5023.5,Very Low
235,-3.0,92.713,-33.0,0.707,5023.5,Very Low
236,-3.0,92.713,-33.0,0.7,5023.5,Very Low
237,-1.8,93.369,-34.8,0.655,5008.7,Very Low
238,-1.8,93.369,-34.8,0.654,5008.7,Very Low
239,-1.8,93.369,-34.8,0.653,5008.7,Very Low
240,-1.8,93.369,-34.8,0.652,5008.7,Very Low
241,-1.8,93.369,-34.8,0.651,5008.7,Very Low
242,-1.8,93.369,-34.8,0.65,5008.7,Very Low
243,-1.8,93.369,-34.8,0.649,5008.7,Very Low
244,-1.8,93.369,-34.8,0.646,5008.7,Very Low
245,-1.8,93.369,-34.8,0.644,5008.7,Very Low
246,-1.8,93.369,-34.8,0.643,5008.7,Very Low
247,-1.8,93.369,-34.8,0.639,5008.7,Very Low
248,-1.8,93.369,-34.8,0.637,5008.7,Very Low
249,-1.8,93.369,-34.8,0.635,5008.7,Very Low
250,-1.8,93.369,-34.8,0.636,5008.7,Very Low
251,-1.8,93.369,-34.8,0.634,5008.7,Very Low
252,-1.8,93.749,-34.6,0.635,5008.7,Very Low
253,-1.8,93.749,-34.6,0.638,5008.7,Very Low
254,-1.8,93.749,-34.6,0.639,5008.7,Very Low
255,-1.8,93.749,-34.6,0.64,5008.7,Very Low
256,-1.8,93.749,-34.6,0.642,5008.7,Very Low
257,-1.8,93.749,-34.6,0.644,5008.7,Very Low
258,-1.8,93.749,-34.6,0.643,5008.7,Very Low
259,-1.8,93.749,-34.6,0.645,5008.7,Very Low
260,-1.8,93.749,-34.6,0.646,5008.7,Very Low
261,-1.8,93.749,-34.6,0.654,5008.7,Very Low
262,-1.8,93.749,-34.6,0.659,5008.7,Very Low
263,-1.8,93.749,-34.6,0.663,5008.7,Very Low
264,-1.8,93.876,-40.0,0.668,5008.7,Very Low
265,-1.8,93.876,-40.0,0.672,5008.7,Very Low
266,-1.8,93.876,-40.0,0.677,5008.7,Very Low
267,-1.8,93.876,-40.0,0.682,5008.7,Very Low
268,-1.8,93.876,-40.0,0.683,5008.7,Very Low
269,-1.8,93.876,-40.0,0.684,5008.7,Very Low
270,-1.8,93.876,-40.0,0.685,5008.7,Very Low
271,-1.8,93.876,-40.0,0.688,5008.7,Very Low
272,-1.8,93.876,-40.0,0.69,5008.7,Very Low
273,-1.8,93.876,-40.0,0.692,5008.7,Very Low
274,-1.8,93.876,-40.0,0.695,5008.7,Very Low
275,-1.8,93.876,-40.0,0.697,5008.7,Very Low
276,-1.8,93.876,-40.0,0.699,5008.7,Very Low
277,-1.8,93.876,-40.0,0.701,5008.7,Very Low
278,-1.7,94.055,-39.8,0.702,4991.6,Very Low
279,-1.7,94.055,-39.8,0.704,4991.6,Very Low
280,-1.7,94.055,-39.8,0.707,4991.6,Very Low
281,-1.7,94.055,-39.8,0.711,4991.6,Very Low
282,-1.7,94.055,-39.8,0.713,4991.6,Very Low
283,-1.7,94.055,-39.8,0.715,4991.6,Very Low
284,-1.7,94.055,-39.8,0.719,4991.6,Very Low
285,-1.7,94.055,-39.8,0.72,4991.6,Very Low
286,-1.7,94.055,-39.8,0.723,4991.6,Very Low
287,-1.7,94.055,-39.8,0.727,4991.6,Very Low
288,-1.7,94.055,-39.8,0.729,4991.6,Very Low
289,-1.7,94.055,-39.8,0.732,4991.6,Very Low
290,-1.7,94.055,-39.8,0.733,4991.6,Very Low
291,-1.7,94.055,-39.8,0.737,4991.6,Very Low
292,-1.7,94.055,-39.8,0.739,4991.6,Very Low
293,-1.7,94.055,-39.8,0.742,4991.6,Very Low
294,-1.7,94.055,-39.8,0.748,4991.6,Very Low
295,-1.7,94.055,-39.8,0.754,4991.6,Very Low
296,-1.7,94.055,-39.8,0.761,4991.6,Very Low
297,-1.7,94.055,-39.8,0.767,4991.6,Very Low
298,-1.7,94.215,-40.3,0.782,4991.6,Very Low
299,-1.7,94.215,-40.3,0.79,4991.6,Very Low
300,-1.7,94.215,-40.3,0.793,4991.6,Very Low
301,-1.7,94.215,-40.3,0.797,4991.6,Very Low
302,-1.7,94.215,-40.3,0.802,4991.6,Very Low
303,-1.7,94.215,-40.3,0.81,4991.6,Very Low
304,-1.7,94.215,-40.3,0.822,4991.6,Very Low
305,-1.7,94.215,-40.3,0.827,4991.6,Very Low
306,-1.7,94.215,-40.3,0.835,4991.6,Very Low
307,-1.7,94.215,-40.3,0.84,4991.6,Very Low
308,-1.7,94.215,-40.3,0.846,4991.6,Very Low
309,-1.7,94.215,-40.3,0.861,4991.6,Very Low
310,-1.7,94.215,-40.3,0.87,4991.6,Very Low
311,-1.7,94.215,-40.3,0.876,4991.6,Very Low
312,-1.7,94.215,-40.3,0.881,4991.6,Very Low
313,-1.7,94.215,-40.3,0.884,4991.6,Very Low
314,-1.7,94.215,-40.3,0.885,4991.6,Very Low
315,-1.7,94.215,-40.3,0.889,4991.6,Very Low
316,-1.7,94.215,-40.3,0.893,4991.6,Very Low
317,-1.7,94.215,-40.3,0.896,4991.6,Very Low
318,-1.7,94.215,-40.3,0.899,4991.6,Very Low
319,-1.7,94.027,-38.3,0.898,4991.6,Very Low
320,-1.7,94.027,-38.3,0.899,4991.6,Very Low
321,-1.7,94.027,-38.3,0.9,4991.6,Very Low
322,-1.7,94.027,-38.3,0.904,4991.6,Very Low
323,-1.7,94.027,-38.3,0.905,4991.6,Very Low
324,-1.7,94.027,-38.3,0.903,4991.6,Very Low
325,-1.7,94.027,-38.3,0.896,4991.6,Very Low
326,-1.7,94.027,-38.3,0.895,4991.6,Very Low
327,-1.7,94.027,-38.3,0.894,4991.6,Very Low
328,-1.7,94.027,-38.3,0.891,4991.6,Very Low
329,-1.7,94.027,-38.3,0.89,4991.6,Very Low
330,-1.7,94.027,-38.3,0.889,4991.6,Very Low
331,-1.7,94.027,-38.3,0.888,4991.6,Very Low
332,-1.7,94.027,-38.3,0.886,4991.6,Very Low
333,-1.1,94.199,-37.5,0.886,4963.6,Very Low
334,-1.1,94.199,-37.5,0.884,4963.6,Very Low
335,-1.1,94.199,-37.5,0.883,4963.6,Very Low
336,-1.1,94.199,-37.5,0.882,4963.6,Very Low
337,-1.1,94.199,-37.5,0.881,4963.6,Very Low
338,-1.1,94.199,-37.5,0.88,4963.6,Very Low
339,-1.1,94.199,-37.5,0.879,4963.6,Very Low
340,-1.1,94.199,-37.5,0.878,4963.6,Very Low
341,-1.1,94.199,-37.5,0.877,4963.6,Very Low
342,-1.1,94.199,-37.5,0.876,4963.6,Very Low
343,-1.1,94.601,-49.5,0.942,4963.6,Very Low
344,-1.1,94.601,-49.5,0.953,4963.6,Very Low
345,-1.1,94.601,-49.5,0.956,4963.6,Very Low
346,-1.1,94.601,-49.5,0.959,4963.6,Very Low
347,-1.1,94.601,-49.5,0.965,4963.6,Very Low
348,-1.1,94.601,-49.5,0.972,4963.6,Very Low
349,-1.1,94.601,-49.5,0.977,4963.6,Very Low
350,-1.1,94.601,-49.5,0.982,4963.6,Very Low
351,-1.1,94.601,-49.5,0.985,4963.6,Very Low
352,-1.1,94.601,-49.5,0.987,4963.6,Very Low
353,-1.1,94.601,-49.5,0.993,4963.6,Very Low
354,-1.1,94.601,-49.5,1.0,4963.6,Very Low
355,-1.1,94.601,-49.5,1.008,4963.6,Low
356,-1.1,94.601,-49.5,1.016,4963.6,Low
357,-1.1,94.601,-49.5,1.025,4963.6,Low
358,-1.1,94.601,-49.5,1.029,4963.6,Low
359,-1.1,94.601,-49.5,1.032,4963.6,Low
360,-1.1,94.601,-49.5,1.037,4963.6,Low
361,-1.1,94.601,-49.5,1.043,4963.6,Low
362,-1.1,94.601,-49.5,1.045,4963.6,Low
363,-1.1,94.767,-50.8,1.047,4963.6,Low
364,-1.1,94.767,-50.8,1.05,4963.6,Low
365,-1.1,94.767,-50.8,1.049,4963.6,Low
366,-1.1,94.767,-50.8,1.048,4963.6,Low
367,-1.1,94.767,-50.8,1.046,4963.6,Low
368,-1.1,94.767,-50.8,1.044,4963.6,Low
369,-1.1,94.767,-50.8,1.041,4963.6,Low
370,-1.1,94.767,-50.8,1.04,4963.6,Low
371,-1.1,94.767,-50.8,1.039,4963.6,Low
372,-1.1,94.767,-50.8,1.035,4963.6,Low
373,-1.1,94.767,-50.8,1.03,4963.6,Low
374,-1.1,94.767,-50.8,1.031,4963.6,Low
375,-1.1,94.767,-50.8,1.028,4963.6,Low
