CustomerKey,age_cleaned,age_bin,job,marital,education,edu_group,income_group,default,housing,loan,financial_status
31,54,50-59,blue-collar,divorced,basic.4y,Elementary,Low Income,no,no,no,No Obligations
32,55,50-59,admin.,married,basic.4y,Elementary,Medium Income,no,yes,no,Has Obligations
33,34,30-39,services,married,high.school,Secondary,Low Income,no,no,no,No Obligations
34,52,50-59,technician,married,basic.9y,Elementary,Medium Income,no,yes,no,Has Obligations
35,41,40-49,admin.,married,university.degree,Advanced,Medium Income,no,yes,no,Has Obligations
36,56,50-59,technician,married,basic.4y,Elementary,Medium Income,no,yes,no,Has Obligations
37,58,50-59,management,married,university.degree,Advanced,High Income,no,yes,no,Has Obligations
38,32,30-39,entrepreneur,married,high.school,Secondary,High Income,no,yes,no,Has Obligations
39,38,30-39,admin.,single,professional.course,Secondary,Medium Income,no,no,no,No Obligations
40,57,50-59,admin.,married,university.degree,Advanced,Medium Income,no,no,yes,Has Obligations
41,44,40-49,admin.,married,university.degree,Advanced,Medium Income,no,yes,no,Has Obligations
42,42,40-49,technician,single,professional.course,Secondary,Medium Income,no,no,no,No Obligations
43,57,50-59,admin.,married,university.degree,Advanced,Medium Income,no,yes,yes,Has Obligations
44,40,30-39,blue-collar,married,basic.9y,Elementary,Low Income,no,no,yes,Has Obligations
45,35,30-39,admin.,married,university.degree,Advanced,Medium Income,no,yes,no,Has Obligations
46,45,40-49,blue-collar,married,basic.9y,Elementary,Low Income,no,yes,no,Has Obligations
47,54,50-59,admin.,married,high.school,Secondary,Medium Income,no,no,no,No Obligations
48,39,30-39,housemaid,married,basic.4y,Elementary,No Income,no,no,yes,Has Obligations
49,60,50-59,admin.,married,high.school,Secondary,Medium Income,no,no,no,No Obligations
50,53,50-59,admin.,single,professional.course,Secondary,Medium Income,no,no,no,No Obligations
51,55,50-59,blue-collar,married,basic.4y,Elementary,Low Income,no,no,no,No Obligations
52,55,50-59,technician,married,professional.course,Secondary,Medium Income,no,yes,no,Has Obligations
53,50,40-49,management,married,university.degree,Advanced,High Income,no,no,yes,Has Obligations
54,45,40-49,services,married,high.school,Secondary,Low Income,no,yes,no,Has Obligations
55,55,50-59,unemployed,married,professional.course,Secondary,No Income,no,yes,yes,Has Obligations
56,25,20-29,technician,single,university.degree,Advanced,Medium Income,no,yes,no,Has Obligations
57,47,40-49,entrepreneur,married,university.degree,Advanced,High Income,no,no,no,No Obligations
58,51,50-59,blue-collar,married,basic.9y,Elementary,Low Income,no,yes,no,Has Obligations
59,42,40-49,blue-collar,married,basic.6y,Elementary,Low Income,no,yes,no,Has Obligations
60,42,40-49,blue-collar,married,basic.6y,Elementary,Low Income,no,no,no,No Obligations
61,48,40-49,admin.,married,high.school,Secondary,Medium Income,no,no,no,No Obligations
62,37,30-39,admin.,married,university.degree,Advanced,Medium Income,no,no,no,No Obligations
63,44,40-49,blue-collar,single,basic.9y,Elementary,Low Income,no,yes,no,Has Obligations
64,33,30-39,admin.,married,university.degree,Advanced,Medium Income,no,yes,no,Has Obligations
65,56,50-59,admin.,married,basic.9y,Elementary,Medium Income,no,yes,no,Has Obligations
66,44,40-49,blue-collar,single,basic.4y,Elementary,Low Income,no,yes,yes,Has Obligations
67,41,40-49,management,married,basic.6y,Elementary,High Income,no,no,no,No Obligations
68,44,40-49,management,divorced,university.degree,Advanced,High Income,no,yes,no,Has Obligations
69,47,40-49,admin.,married,university.degree,Advanced,Medium Income,no,yes,no,Has Obligations
70,57,50-59,admin.,married,university.degree,Advanced,Medium Income,no,no,no,No Obligations
71,37,30-39,admin.,married,university.degree,Advanced,Medium Income,no,yes,no,Has Obligations
72,41,40-49,blue-collar,divorced,basic.4y,Elementary,Low Income,no,yes,no,Has Obligations
73,55,50-59,technician,married,university.degree,Advanced,Medium Income,no,no,no,No Obligations
74,33,30-39,services,married,high.school,Secondary,Low Income,no,yes,no,Has Obligations
75,55,50-59,management,married,university.degree,Advanced,High Income,no,yes,no,Has Obligations
76,42,40-49,blue-collar,married,basic.9y,Elementary,Low Income,no,no,no,No Obligations
77,50,40-49,blue-collar,married,basic.4y,Elementary,Low Income,no,yes,no,Has Obligations
78,51,50-59,blue-collar,married,basic.4y,Elementary,Low Income,no,no,no,No Obligations
79,38,30-39,admin.,married,high.school,Secondary,Medium Income,no,no,no,No Obligations
80,49,40-49,entrepreneur,married,university.degree,Advanced,High Income,no,yes,no,Has Obligations
81,38,30-39,technician,single,university.degree,Advanced,Medium Income,no,no,yes,Has Obligations
82,31,30-39,admin.,divorced,high.school,Secondary,Medium Income,no,no,no,No Obligations
83,39,30-39,admin.,married,university.degree,Advanced,Medium Income,no,yes,yes,Has Obligations
84,49,40-49,technician,married,basic.9y,Elementary,Medium Income,no,no,no,No Obligations
85,34,30-39,admin.,married,high.school,Secondary,Medium Income,no,yes,no,Has Obligations
86,57,50-59,admin.,married,university.degree,Advanced,Medium Income,no,yes,no,Has Obligations
87,60,50-59,admin.,married,university.degree,Advanced,Medium Income,no,no,yes,Has Obligations
88,33,30-39,unemployed,married,basic.9y,Elementary,No Income,no,no,no,No Obligations
89,42,40-49,blue-collar,married,basic.6y,Elementary,Low Income,no,no,yes,Has Obligations
90,45,40-49,services,married,professional.course,Secondary,Low Income,no,yes,no,Has Obligations
91,42,40-49,management,married,university.degree,Advanced,High Income,no,no,no,No Obligations
92,53,50-59,admin.,divorced,university.degree,Advanced,Medium Income,no,no,no,No Obligations
93,37,30-39,technician,single,professional.course,Secondary,Medium Income,no,no,no,No Obligations
94,44,40-49,blue-collar,married,basic.6y,Elementary,Low Income,no,no,no,No Obligations
95,54,50-59,services,married,university.degree,Advanced,Low Income,no,yes,no,Has Obligations
96,49,40-49,blue-collar,married,basic.4y,Elementary,Low Income,no,no,no,No Obligations
97,54,50-59,services,married,university.degree,Advanced,Low Income,no,no,no,No Obligations
98,52,50-59,admin.,divorced,university.degree,Advanced,Medium Income,no,no,no,No Obligations
99,43,40-49,services,single,high.school,Secondary,Low Income,no,no,no,No Obligations
100,34,30-39,housemaid,married,basic.6y,Elementary,No Income,no,yes,no,Has Obligations
101,35,30-39,admin.,married,high.school,Secondary,Medium Income,no,yes,no,Has Obligations
102,42,40-49,entrepreneur,married,university.degree,Advanced,High Income,no,yes,no,Has Obligations
103,43,40-49,technician,married,university.degree,Advanced,Medium Income,no,yes,yes,Has Obligations
104,60,50-59,retired,divorced,university.degree,Advanced,Medium Income,no,no,no,No Obligations
105,58,50-59,unemployed,married,basic.4y,Elementary,No Income,no,no,no,No Obligations
106,35,30-39,services,divorced,high.school,Secondary,Low Income,no,yes,no,Has Obligations
107,55,50-59,blue-collar,married,basic.9y,Elementary,Low Income,no,yes,no,Has Obligations
108,37,30-39,management,married,university.degree,Advanced,High Income,no,no,no,No Obligations
109,36,30-39,blue-collar,married,high.school,Secondary,Low Income,no,no,no,No Obligations
110,57,50-59,blue-collar,divorced,university.degree,Advanced,Low Income,no,yes,no,Has Obligations
111,56,50-59,admin.,married,university.degree,Advanced,Medium Income,no,yes,no,Has Obligations
112,48,40-49,blue-collar,divorced,basic.4y,Elementary,Low Income,no,yes,no,Has Obligations
113,40,30-39,blue-collar,married,high.school,Secondary,Low Income,no,yes,no,Has Obligations
114,49,40-49,blue-collar,divorced,high.school,Secondary,Low Income,no,no,no,No Obligations
115,41,40-49,services,married,high.school,Secondary,Low Income,no,no,no,No Obligations
116,45,40-49,technician,married,high.school,Secondary,Medium Income,no,yes,no,Has Obligations
117,32,30-39,admin.,married,university.degree,Advanced,Medium Income,no,yes,yes,Has Obligations
118,42,40-49,admin.,married,university.degree,Advanced,Medium Income,no,no,yes,Has Obligations
119,50,40-49,admin.,married,basic.6y,Elementary,Medium Income,no,no,no,No Obligations
120,31,30-39,technician,divorced,professional.course,Secondary,Medium Income,no,yes,yes,Has Obligations
121,56,50-59,retired,married,basic.4y,Elementary,Medium Income,no,yes,no,Has Obligations
122,41,40-49,technician,married,professional.course,Secondary,Medium Income,no,yes,no,Has Obligations
123,37,30-39,blue-collar,married,basic.6y,Elementary,Low Income,no,yes,yes,Has Obligations
124,41,40-49,technician,married,professional.course,Secondary,Medium Income,no,no,no,No Obligations
125,35,30-39,blue-collar,married,university.degree,Advanced,Low Income,no,yes,no,Has Obligations
126,37,30-39,blue-collar,married,basic.6y,Elementary,Low Income,no,yes,no,Has Obligations
127,52,50-59,management,married,university.degree,Advanced,High Income,no,no,no,No Obligations
128,39,30-39,management,divorced,university.degree,Advanced,High Income,no,no,no,No Obligations
129,39,30-39,housemaid,married,basic.4y,Elementary,No Income,no,no,no,No Obligations
130,56,50-59,blue-collar,married,basic.4y,Elementary,Low Income,no,no,no,No Obligations
131,34,30-39,services,married,high.school,Secondary,Low Income,no,yes,no,Has Obligations
132,43,40-49,unemployed,single,university.degree,Advanced,No Income,no,yes,no,Has Obligations
133,56,50-59,management,married,university.degree,Advanced,High Income,no,yes,no,Has Obligations
134,39,30-39,management,married,university.degree,Advanced,High Income,no,yes,no,Has Obligations
135,53,50-59,blue-collar,married,basic.4y,Elementary,Low Income,no,yes,no,Has Obligations
136,38,30-39,admin.,divorced,high.school,Secondary,Medium Income,no,yes,no,Has Obligations
137,42,40-49,blue-collar,married,basic.4y,Elementary,Low Income,no,yes,no,Has Obligations
138,42,40-49,blue-collar,married,basic.4y,Elementary,Low Income,no,no,no,No Obligations
139,35,30-39,admin.,single,high.school,Secondary,Medium Income,no,yes,no,Has Obligations
140,40,30-39,admin.,married,university.degree,Advanced,Medium Income,no,yes,no,Has Obligations
141,51,50-59,blue-collar,married,basic.4y,Elementary,Low Income,no,yes,no,Has Obligations
142,60,50-59,blue-collar,married,basic.9y,Elementary,Low Income,no,no,no,No Obligations
143,56,50-59,entrepreneur,married,university.degree,Advanced,High Income,no,yes,no,Has Obligations
144,39,30-39,services,divorced,high.school,Secondary,Low Income,no,yes,no,Has Obligations
145,56,50-59,entrepreneur,married,university.degree,Advanced,High Income,no,no,no,No Obligations
146,40,30-39,blue-collar,married,university.degree,Advanced,Low Income,no,yes,yes,Has Obligations
147,36,30-39,blue-collar,married,basic.9y,Elementary,Low Income,no,yes,yes,Has Obligations
148,51,50-59,blue-collar,married,university.degree,Advanced,Low Income,no,yes,no,Has Obligations
149,51,50-59,blue-collar,married,university.degree,Advanced,Low Income,no,no,no,No Obligations
150,43,40-49,technician,single,professional.course,Secondary,Medium Income,no,yes,no,Has Obligations
151,59,50-59,services,married,high.school,Secondary,Low Income,no,no,no,No Obligations
152,24,20-29,management,single,university.degree,Advanced,High Income,no,yes,no,Has Obligations
153,37,30-39,blue-collar,single,basic.9y,Elementary,Low Income,no,yes,yes,Has Obligations
154,40,30-39,blue-collar,married,basic.9y,Elementary,Low Income,no,no,no,No Obligations
155,39,30-39,services,divorced,high.school,Secondary,Low Income,no,no,no,No Obligations
156,37,30-39,entrepreneur,married,basic.6y,Elementary,High Income,no,no,no,No Obligations
157,38,30-39,services,married,high.school,Secondary,Low Income,no,yes,yes,Has Obligations
158,56,50-59,admin.,divorced,university.degree,Advanced,Medium Income,no,no,no,No Obligations
159,40,30-39,blue-collar,married,university.degree,Advanced,Low Income,no,no,no,No Obligations
160,54,50-59,management,divorced,university.degree,Advanced,High Income,no,yes,no,Has Obligations
161,43,40-49,blue-collar,married,high.school,Secondary,Low Income,no,no,yes,Has Obligations
162,36,30-39,services,married,high.school,Secondary,Low Income,no,no,no,No Obligations
163,45,40-49,technician,married,university.degree,Advanced,Medium Income,no,yes,yes,Has Obligations
164,42,40-49,admin.,single,university.degree,Advanced,Medium Income,no,no,no,No Obligations
165,43,40-49,services,married,high.school,Secondary,Low Income,no,no,no,No Obligations
166,46,40-49,management,married,basic.9y,Elementary,High Income,no,no,no,No Obligations
167,44,40-49,services,married,high.school,Secondary,Low Income,no,yes,yes,Has Obligations
168,51,50-59,admin.,single,basic.6y,Elementary,Medium Income,no,no,no,No Obligations
169,28,20-29,services,married,high.school,Secondary,Low Income,no,yes,no,Has Obligations
170,37,30-39,blue-collar,married,basic.9y,Elementary,Low Income,no,no,no,No Obligations
171,34,30-39,technician,married,high.school,Secondary,Medium Income,no,no,no,No Obligations
172,46,40-49,blue-collar,married,basic.6y,Elementary,Low Income,no,yes,no,Has Obligations
173,42,40-49,blue-collar,married,basic.9y,Elementary,Low Income,no,yes,yes,Has Obligations
174,36,30-39,admin.,married,university.degree,Advanced,Medium Income,no,yes,no,Has Obligations
175,54,50-59,blue-collar,married,basic.4y,Elementary,Low Income,no,no,no,No Obligations
176,57,50-59,management,married,university.degree,Advanced,High Income,no,no,no,No Obligations
177,51,50-59,technician,married,basic.6y,Elementary,Medium Income,no,no,no,No Obligations
178,54,50-59,retired,married,high.school,Secondary,Medium Income,no,no,no,No Obligations
179,34,30-39,admin.,married,university.degree,Advanced,Medium Income,no,yes,no,Has Obligations
180,38,30-39,blue-collar,single,basic.9y,Elementary,Low Income,no,yes,no,Has Obligations
181,45,40-49,management,divorced,university.degree,Advanced,High Income,no,no,no,No Obligations
182,42,40-49,technician,married,university.degree,Advanced,Medium Income,no,no,no,No Obligations
183,34,30-39,blue-collar,single,basic.9y,Elementary,Low Income,no,yes,no,Has Obligations
184,48,40-49,blue-collar,married,basic.4y,Elementary,Low Income,no,yes,no,Has Obligations
185,34,30-39,blue-collar,single,basic.9y,Elementary,Low Income,no,no,no,No Obligations
186,40,30-39,admin.,married,basic.9y,Elementary,Medium Income,no,yes,no,Has Obligations
187,43,40-49,blue-collar,married,basic.6y,Elementary,Low Income,no,yes,no,Has Obligations
188,33,30-39,services,married,high.school,Secondary,Low Income,no,no,no,No Obligations
189,32,30-39,services,single,basic.6y,Elementary,Low Income,no,no,no,No Obligations
190,39,30-39,blue-collar,married,high.school,Secondary,Low Income,no,yes,no,Has Obligations
191,43,40-49,admin.,married,university.degree,Advanced,Medium Income,no,no,no,No Obligations
192,44,40-49,blue-collar,married,basic.9y,Elementary,Low Income,no,yes,no,Has Obligations
193,35,30-39,student,single,university.degree,Advanced,No Income,no,no,no,No Obligations
194,35,30-39,student,single,university.degree,Advanced,No Income,no,yes,yes,Has Obligations
195,35,30-39,unemployed,married,professional.course,Secondary,No Income,no,no,no,No Obligations
196,36,30-39,services,single,basic.4y,Elementary,Low Income,no,no,no,No Obligations
197,35,30-39,student,single,university.degree,Advanced,No Income,no,yes,no,Has Obligations
198,36,30-39,student,single,basic.9y,Elementary,No Income,no,yes,no,Has Obligations
199,55,50-59,housemaid,divorced,university.degree,Advanced,No Income,no,no,no,No Obligations
200,59,50-59,admin.,married,university.degree,Advanced,Medium Income,no,no,no,No Obligations
201,57,50-59,retired,married,university.degree,Advanced,Medium Income,no,no,no,No Obligations
202,39,30-39,blue-collar,married,professional.course,Secondary,Low Income,no,yes,no,Has Obligations
203,39,30-39,housemaid,married,basic.4y,Elementary,No Income,no,yes,no,Has Obligations
204,30,20-29,blue-collar,single,university.degree,Advanced,Low Income,no,yes,no,Has Obligations
205,30,20-29,blue-collar,single,university.degree,Advanced,Low Income,no,yes,yes,Has Obligations
206,50,40-49,housemaid,married,basic.4y,Elementary,No Income,no,no,no,No Obligations
207,40,30-39,services,married,high.school,Secondary,Low Income,no,no,no,No Obligations
208,43,40-49,technician,married,university.degree,Advanced,Medium Income,no,no,no,No Obligations
209,36,30-39,services,single,basic.6y,Elementary,Low Income,no,yes,no,Has Obligations
210,46,40-49,technician,married,basic.4y,Elementary,Medium Income,no,yes,no,Has Obligations
211,40,30-39,technician,married,basic.9y,Elementary,Medium Income,no,no,no,No Obligations
212,58,50-59,retired,married,university.degree,Advanced,Medium Income,no,no,no,No Obligations
213,35,30-39,admin.,single,university.degree,Advanced,Medium Income,no,no,no,No Obligations
214,43,40-49,retired,married,basic.4y,Elementary,Medium Income,no,no,no,No Obligations
215,45,40-49,blue-collar,married,basic.4y,Elementary,Low Income,no,yes,yes,Has Obligations
216,39,30-39,admin.,married,professional.course,Secondary,Medium Income,no,yes,no,Has Obligations
217,50,40-49,services,divorced,professional.course,Secondary,Low Income,no,yes,no,Has Obligations
218,32,30-39,management,divorced,basic.4y,Elementary,High Income,no,yes,no,Has Obligations
219,39,30-39,admin.,married,high.school,Secondary,Medium Income,no,no,no,No Obligations
220,52,50-59,self-employed,married,university.degree,Advanced,High Income,no,no,no,No Obligations
221,44,40-49,admin.,married,professional.course,Secondary,Medium Income,no,yes,no,Has Obligations
222,33,30-39,services,married,high.school,Secondary,Low Income,no,no,yes,Has Obligations
223,43,40-49,management,married,university.degree,Advanced,High Income,no,no,yes,Has Obligations
224,57,50-59,retired,married,high.school,Secondary,Medium Income,no,no,no,No Obligations
225,36,30-39,technician,single,professional.course,Secondary,Medium Income,no,no,no,No Obligations
226,34,30-39,management,married,university.degree,Advanced,High Income,no,yes,no,Has Obligations
227,34,30-39,services,single,basic.9y,Elementary,Low Income,no,no,no,No Obligations
228,30,20-29,technician,married,university.degree,Advanced,Medium Income,no,no,no,No Obligations
229,33,30-39,services,divorced,university.degree,Advanced,Low Income,no,no,no,No Obligations
230,32,30-39,technician,single,professional.course,Secondary,Medium Income,no,no,no,No Obligations
231,36,30-39,technician,single,high.school,Secondary,Medium Income,no,yes,no,Has Obligations
232,36,30-39,blue-collar,single,high.school,Secondary,Low Income,no,no,yes,Has Obligations
233,33,30-39,services,single,high.school,Secondary,Low Income,no,no,no,No Obligations
234,40,30-39,technician,divorced,professional.course,Secondary,Medium Income,no,no,no,No Obligations
235,41,40-49,blue-collar,married,basic.4y,Elementary,Low Income,no,yes,no,Has Obligations
236,51,50-59,services,married,basic.6y,Elementary,Low Income,no,yes,no,Has Obligations
237,36,30-39,technician,married,professional.course,Secondary,Medium Income,no,yes,no,Has Obligations
238,28,20-29,services,married,university.degree,Advanced,Low Income,no,no,no,No Obligations
239,53,50-59,services,married,high.school,Secondary,Low Income,no,yes,yes,Has Obligations
240,58,50-59,blue-collar,married,basic.9y,Elementary,Low Income,no,yes,no,Has Obligations
241,45,40-49,management,married,basic.9y,Elementary,High Income,no,no,yes,Has Obligations
242,43,40-49,technician,married,university.degree,Advanced,Medium Income,no,yes,no,Has Obligations
243,33,30-39,admin.,married,high.school,Secondary,Medium Income,no,no,yes,Has Obligations
244,27,20-29,blue-collar,single,basic.6y,Elementary,Low Income,no,no,no,No Obligations
245,42,40-49,technician,married,high.school,Secondary,Medium Income,no,no,no,No Obligations
246,43,40-49,admin.,divorced,basic.9y,Elementary,Medium Income,no,no,no,No Obligations
247,42,40-49,admin.,married,university.degree,Advanced,Medium Income,no,no,no,No Obligations
248,34,30-39,self-employed,single,university.degree,Advanced,High Income,no,yes,no,Has Obligations
249,31,30-39,student,single,university.degree,Advanced,No Income,no,no,no,No Obligations
250,54,50-59,management,divorced,university.degree,Advanced,High Income,no,no,no,No Obligations
251,40,30-39,self-employed,married,basic.4y,Elementary,High Income,no,no,no,No Obligations
252,52,50-59,unemployed,married,high.school,Secondary,No Income,no,yes,no,Has Obligations
253,47,40-49,management,divorced,university.degree,Advanced,High Income,no,no,no,No Obligations
254,49,40-49,housemaid,married,basic.9y,Elementary,No Income,no,no,no,No Obligations
255,32,30-39,admin.,single,high.school,Secondary,Medium Income,no,no,no,No Obligations
256,49,40-49,housemaid,single,high.school,Secondary,No Income,no,yes,yes,Has Obligations
257,50,40-49,blue-collar,married,basic.9y,Elementary,Low Income,no,no,no,No Obligations
258,47,40-49,technician,single,basic.9y,Elementary,Medium Income,no,no,no,No Obligations
259,51,50-59,retired,married,professional.course,Secondary,Medium Income,no,no,no,No Obligations
260,47,40-49,blue-collar,married,basic.6y,Elementary,Low Income,no,no,no,No Obligations
261,53,50-59,admin.,married,basic.9y,Elementary,Medium Income,no,no,no,No Obligations
262,36,30-39,blue-collar,married,basic.9y,Elementary,Low Income,no,yes,no,Has Obligations
263,42,40-49,blue-collar,divorced,basic.9y,Elementary,Low Income,no,yes,no,Has Obligations
264,44,40-49,blue-collar,divorced,basic.6y,Elementary,Low Income,no,no,no,No Obligations
265,39,30-39,housemaid,married,basic.9y,Elementary,No Income,no,yes,no,Has Obligations
266,37,30-39,admin.,single,high.school,Secondary,Medium Income,no,yes,yes,Has Obligations
267,60,50-59,blue-collar,married,university.degree,Advanced,Low Income,no,yes,no,Has Obligations
268,42,40-49,management,divorced,university.degree,Advanced,High Income,no,yes,no,Has Obligations
269,31,30-39,admin.,married,high.school,Secondary,Medium Income,no,yes,yes,Has Obligations
270,53,50-59,technician,divorced,professional.course,Secondary,Medium Income,no,no,yes,Has Obligations
271,45,40-49,blue-collar,married,basic.4y,Elementary,Low Income,no,yes,no,Has Obligations
272,37,30-39,technician,single,professional.course,Secondary,Medium Income,no,yes,no,Has Obligations
273,47,40-49,self-employed,married,professional.course,Secondary,High Income,no,no,no,No Obligations
274,49,40-49,blue-collar,divorced,high.school,Secondary,Low Income,no,no,yes,Has Obligations
275,35,30-39,services,divorced,high.school,Secondary,Low Income,no,no,no,No Obligations
276,38,30-39,admin.,married,university.degree,Advanced,Medium Income,no,no,no,No Obligations
277,38,30-39,services,single,high.school,Secondary,Low Income,no,no,no,No Obligations
278,50,40-49,blue-collar,divorced,high.school,Secondary,Low Income,no,no,yes,Has Obligations
279,59,50-59,retired,married,professional.course,Secondary,Medium Income,no,no,no,No Obligations
280,43,40-49,admin.,married,university.degree,Advanced,Medium Income,no,yes,no,Has Obligations
281,42,40-49,admin.,married,high.school,Secondary,Medium Income,no,yes,no,Has Obligations
282,40,30-39,admin.,married,basic.6y,Elementary,Medium Income,no,yes,no,Has Obligations
283,46,40-49,blue-collar,married,university.degree,Advanced,Low Income,no,no,no,No Obligations
284,57,50-59,housemaid,divorced,basic.4y,Elementary,No Income,no,yes,yes,Has Obligations
285,42,40-49,admin.,married,university.degree,Advanced,Medium Income,no,yes,no,Has Obligations
286,27,20-29,admin.,single,university.degree,Advanced,Medium Income,no,no,no,No Obligations
287,36,30-39,admin.,married,high.school,Secondary,Medium Income,no,no,no,No Obligations
288,58,50-59,blue-collar,married,professional.course,Secondary,Low Income,no,yes,no,Has Obligations
289,40,30-39,management,married,university.degree,Advanced,High Income,no,yes,no,Has Obligations
290,34,30-39,admin.,single,basic.9y,Elementary,Medium Income,no,no,no,No Obligations
291,33,30-39,admin.,divorced,high.school,Secondary,Medium Income,no,no,no,No Obligations
292,56,50-59,retired,married,basic.6y,Elementary,Medium Income,no,no,no,No Obligations
293,43,40-49,services,married,high.school,Secondary,Low Income,no,yes,no,Has Obligations
294,54,50-59,management,single,basic.9y,Elementary,High Income,no,yes,no,Has Obligations
295,53,50-59,admin.,single,basic.6y,Elementary,Medium Income,no,yes,yes,Has Obligations
296,42,40-49,technician,single,university.degree,Advanced,Medium Income,no,no,no,No Obligations
297,40,30-39,services,married,basic.6y,Elementary,Low Income,no,no,no,No Obligations
298,54,50-59,technician,married,professional.course,Secondary,Medium Income,no,yes,yes,Has Obligations
299,40,30-39,housemaid,single,professional.course,Secondary,No Income,no,no,no,No Obligations
300,26,20-29,admin.,single,university.degree,Advanced,Medium Income,no,yes,no,Has Obligations
301,33,30-39,admin.,married,high.school,Secondary,Medium Income,no,no,no,No Obligations
302,35,30-39,blue-collar,married,basic.9y,Elementary,Low Income,no,no,no,No Obligations
303,29,20-29,services,single,high.school,Secondary,Low Income,no,yes,no,Has Obligations
304,35,30-39,management,married,high.school,Secondary,High Income,no,yes,no,Has Obligations
305,50,40-49,self-employed,single,university.degree,Advanced,High Income,no,no,yes,Has Obligations
306,46,40-49,services,married,high.school,Secondary,Low Income,no,yes,no,Has Obligations
307,49,40-49,entrepreneur,married,high.school,Secondary,High Income,no,yes,no,Has Obligations
308,42,40-49,technician,single,professional.course,Secondary,Medium Income,no,yes,no,Has Obligations
309,36,30-39,blue-collar,single,high.school,Secondary,Low Income,no,yes,yes,Has Obligations
310,41,40-49,management,married,university.degree,Advanced,High Income,no,no,no,No Obligations
311,57,50-59,management,married,professional.course,Secondary,High Income,no,yes,no,Has Obligations
312,32,30-39,services,single,high.school,Secondary,Low Income,no,yes,no,Has Obligations
313,49,40-49,admin.,married,basic.9y,Elementary,Medium Income,no,no,no,No Obligations
314,58,50-59,blue-collar,divorced,basic.4y,Elementary,Low Income,no,yes,no,Has Obligations
315,52,50-59,technician,married,high.school,Secondary,Medium Income,no,yes,no,Has Obligations
316,50,40-49,services,divorced,professional.course,Secondary,Low Income,no,no,no,No Obligations
317,41,40-49,blue-collar,single,basic.9y,Elementary,Low Income,no,yes,no,Has Obligations
318,33,30-39,entrepreneur,married,university.degree,Advanced,High Income,no,yes,no,Has Obligations
319,57,50-59,blue-collar,married,basic.4y,Elementary,Low Income,no,no,no,No Obligations
320,48,40-49,blue-collar,married,basic.6y,Elementary,Low Income,no,no,no,No Obligations
321,55,50-59,technician,married,professional.course,Secondary,Medium Income,no,no,no,No Obligations
322,38,30-39,management,married,university.degree,Advanced,High Income,no,no,no,No Obligations
323,38,30-39,services,married,high.school,Secondary,Low Income,no,yes,no,Has Obligations
324,53,50-59,admin.,married,university.degree,Advanced,Medium Income,no,yes,no,Has Obligations
325,43,40-49,unemployed,single,university.degree,Advanced,No Income,no,no,no,No Obligations
